CRName  Row  Col  Date  Type  
CS 597   3   0   0.21   H   
CS 620   3   0   0.21   H   
CS 625   3   0   0.21   H   
CS 665   3   0   0.21   H   
CS 667   3   0   0.21   H   
CS 690   3   0   0.21   H   
CS 697   3   0   0.21   H   
CS 698   3   0   0.21   H   
CS 699   3   0   0.21   H   
CS 722   3   0   0.21   H   
CS 723   3   0   0.21   H   
CS 776   3   0   0.21   H   
CS 791   3   0   0.21   H   
CS 795   3   0   0.21   H   
CS 796   3   0   0.21   H   
CS 822   3   0   0.21   H   
CS 823   3   0   0.21   H   
CS 876   3   0   0.21   H   
CS 891   3   0   0.21   H   
CS 895   3   0   0.21   H   
CS 896   3   0   0.21   H   
CS 899   3   0   0.21   H   
CS 999   3   0   0.21   H   
CS 120G   4   0   0.22   H   
CS 121G   4   0   0.22   H   
CS 129   4   0   0.22   H   
CS 150   4   0   0.22   H   
CS 170   4   0   0.22   H   
CS 229   4   0   0.22   H   
CS 250   4   0   0.22   H   
CS 252   4   0   0.22   H   
CS 270   4   0   0.22   H   
CS 300T   4   0   0.22   H   
CS 312   4   0   0.22   H   
CS 330   4   0   0.22   H   
CS 334   4   0   0.22   H   
CS 350   4   0   0.22   H   
CS 355   4   0   0.22   H   
CS 361   4   0   0.22   H   
CS 367   4   0   0.22   H   
CS 368   4   0   0.22   H   
CS 381   4   0   0.22   H   
CS 382   4   0   0.22   H   
CS 390   4   0   0.22   H   
CS 395   4   0   0.22   H   
CS 402   4   0   0.22   H   
CS 410   4   0   0.22   H   
CS 411W   4   0   0.22   H   
CS 417   4   0   0.22   H   
CS 418   4   0   0.22   H   
CS 432   4   0   0.22   H   
CS 450   4   0   0.22   H   
CS 455   4   0   0.22   H   
CS 460   4   0   0.22   H   
CS 462   4   0   0.22   H   
CS 463   4   0   0.22   H   
CS 464   4   0   0.22   H   
CS 467   4   0   0.22   H   
CS 471   4   0   0.22   H   
CS 480   4   0   0.22   H   
CS 497   4   0   0.22   H   
CS 500   4   0   0.22   H   
CS 502   4   0   0.22   H   
CS 517   4   0   0.22   H   
CS 518   4   0   0.22   H   
CS 532   4   0   0.22   H   
CS 550   4   0   0.22   H   
CS 555   4   0   0.22   H   
CS 562   4   0   0.22   H   
CS 563   4   0   0.22   H   
CS 564   4   0   0.22   H   
CS 567   4   0   0.22   H   
CS 580   4   0   0.22   H   
CS 597   4   0   0.22   H   
CS 620   4   0   0.22   H   
CS 625   4   0   0.22   H   
CS 665   4   0   0.22   H   
CS 667   4   0   0.22   H   
CS 690   4   0   0.22   H   
CS 697   4   0   0.22   H   
CS 698   4   0   0.22   H   
CS 699   4   0   0.22   H   
CS 722   4   0   0.22   H   
CS 723   4   0   0.22   H   
CS 776   4   0   0.22   H   
CS 791   4   0   0.22   H   
CS 795   4   0   0.22   H   
CS 796   4   0   0.22   H   
CS 822   4   0   0.22   H   
CS 823   4   0   0.22   H   
CS 876   4   0   0.22   H   
CS 891   4   0   0.22   H   
CS 895   4   0   0.22   H   
CS 896   4   0   0.22   H   
CS 899   4   0   0.22   H   
CS 999   4   0   0.22   H   
CS 120G   5   0   0.27   H   
CS 121G   5   0   0.27   H   
CS 129   5   0   0.27   H   
CS 150   5   0   0.27   H   
CS 170   5   0   0.27   H   
CS 229   5   0   0.27   H   
CS 250   5   0   0.27   H   
CS 252   5   0   0.27   H   
CS 270   5   0   0.27   H   
CS 300T   5   0   0.27   H   
CS 312   5   0   0.27   H   
CS 330   5   0   0.27   H   
CS 334   5   0   0.27   H   
CS 350   5   0   0.27   H   
CS 355   5   0   0.27   H   
CS 361   5   0   0.27   H   
CS 367   5   0   0.27   H   
CS 368   5   0   0.27   H   
CS 381   5   0   0.27   H   
CS 382   5   0   0.27   H   
CS 390   5   0   0.27   H   
CS 395   5   0   0.27   H   
CS 402   5   0   0.27   H   
CS 410   5   0   0.27   H   
CS 411W   5   0   0.27   H   
CS 417   5   0   0.27   H   
CS 418   5   0   0.27   H   
CS 432   5   0   0.27   H   
CS 450   5   0   0.27   H   
CS 455   5   0   0.27   H   
CS 460   5   0   0.27   H   
CS 462   5   0   0.27   H   
CS 463   5   0   0.27   H   
CS 464   5   0   0.27   H   
CS 467   5   0   0.27   H   
CS 471   5   0   0.27   H   
CS 480   5   0   0.27   H   
CS 497   5   0   0.27   H   
CS 500   5   0   0.27   H   
CS 502   5   0   0.27   H   
CS 517   5   0   0.27   H   
CS 518   5   0   0.27   H   
CS 532   5   0   0.27   H   
CS 550   5   0   0.27   H   
CS 555   5   0   0.27   H   
CS 562   5   0   0.27   H   
CS 563   5   0   0.27   H   
CS 564   5   0   0.27   H   
CS 567   5   0   0.27   H   
CS 580   5   0   0.27   H   
CS 597   5   0   0.27   H   
CS 620   5   0   0.27   H   
CS 625   5   0   0.27   H   
CS 665   5   0   0.27   H   
CS 667   5   0   0.27   H   
CS 690   5   0   0.27   H   
CS 697   5   0   0.27   H   
CS 698   5   0   0.27   H   
CS 699   5   0   0.27   H   
CS 722   5   0   0.27   H   
CS 723   5   0   0.27   H   
CS 776   5   0   0.27   H   
CS 791   5   0   0.27   H   
CS 795   5   0   0.27   H   
CS 796   5   0   0.27   H   
CS 822   5   0   0.27   H   
CS 823   5   0   0.27   H   
CS 876   5   0   0.27   H   
CS 891   5   0   0.27   H   
CS 895   5   0   0.27   H   
CS 896   5   0   0.27   H   
CS 899   5   0   0.27   H   
CS 999   5   0   0.27   H   
CS 120G   6   0   0.29   H   
CS 121G   6   0   0.29   H   
CS 129   6   0   0.29   H   
CS 150   6   0   0.29   H   
CS 170   6   0   0.29   H   
CS 229   6   0   0.29   H   
CS 250   6   0   0.29   H   
CS 252   6   0   0.29   H   
CS 270   6   0   0.29   H   
CS 300T   6   0   0.29   H   
CS 312   6   0   0.29   H   
CS 330   6   0   0.29   H   
CS 334   6   0   0.29   H   
CS 350   6   0   0.29   H   
CS 355   6   0   0.29   H   
CS 361   6   0   0.29   H   
CS 367   6   0   0.29   H   
CS 368   6   0   0.29   H   
CS 381   6   0   0.29   H   
CS 382   6   0   0.29   H   
CS 390   6   0   0.29   H   
CS 395   6   0   0.29   H   
CS 402   6   0   0.29   H   
CS 410   6   0   0.29   H   
CS 411W   6   0   0.29   H   
CS 417   6   0   0.29   H   
CS 418   6   0   0.29   H   
CS 432   6   0   0.29   H   
CS 450   6   0   0.29   H   
CS 455   6   0   0.29   H   
CS 460   6   0   0.29   H   
CS 462   6   0   0.29   H   
CS 463   6   0   0.29   H   
CS 464   6   0   0.29   H   
CS 467   6   0   0.29   H   
CS 471   6   0   0.29   H   
CS 480   6   0   0.29   H   
CS 497   6   0   0.29   H   
CS 500   6   0   0.29   H   
CS 502   6   0   0.29   H   
CS 517   6   0   0.29   H   
CS 518   6   0   0.29   H   
CS 532   6   0   0.29   H   
CS 550   6   0   0.29   H   
CS 555   6   0   0.29   H   
CS 562   6   0   0.29   H   
CS 563   6   0   0.29   H   
CS 564   6   0   0.29   H   
CS 567   6   0   0.29   H   
CS 580   6   0   0.29   H   
CS 597   6   0   0.29   H   
CS 620   6   0   0.29   H   
CS 625   6   0   0.29   H   
CS 665   6   0   0.29   H   
CS 667   6   0   0.29   H   
CS 690   6   0   0.29   H   
CS 697   6   0   0.29   H   
CS 698   6   0   0.29   H   
CS 699   6   0   0.29   H   
CS 722   6   0   0.29   H   
CS 723   6   0   0.29   H   
CS 776   6   0   0.29   H   
CS 791   6   0   0.29   H   
CS 795   6   0   0.29   H   
CS 796   6   0   0.29   H   
CS 822   6   0   0.29   H   
CS 823   6   0   0.29   H   
CS 876   6   0   0.29   H   
CS 891   6   0   0.29   H   
CS 895   6   0   0.29   H   
CS 896   6   0   0.29   H   
CS 899   6   0   0.29   H   
CS 999   6   0   0.29   H   
CS 120G   7   0   0.29   H   
CS 121G   7   0   0.29   H   
CS 129   7   0   0.29   H   
CS 150   7   0   0.29   H   
CS 170   7   0   0.29   H   
CS 229   7   0   0.29   H   
CS 250   7   0   0.29   H   
CS 252   7   0   0.29   H   
CS 270   7   0   0.29   H   
CS 300T   7   0   0.29   H   
CS 312   7   0   0.29   H   
CS 330   7   0   0.29   H   
CS 334   7   0   0.29   H   
CS 350   7   0   0.29   H   
CS 355   7   0   0.29   H   
CS 361   7   0   0.29   H   
CS 367   7   0   0.29   H   
CS 368   7   0   0.29   H   
CS 381   7   0   0.29   H   
CS 382   7   0   0.29   H   
CS 390   7   0   0.29   H   
CS 395   7   0   0.29   H   
CS 402   7   0   0.29   H   
CS 410   7   0   0.29   H   
CS 411W   7   0   0.29   H   
CS 417   7   0   0.29   H   
CS 418   7   0   0.29   H   
CS 432   7   0   0.29   H   
CS 450   7   0   0.29   H   
CS 455   7   0   0.29   H   
CS 460   7   0   0.29   H   
CS 462   7   0   0.29   H   
